Year;Month;Country;Branch_ID;Sales;Customers;Marketing_Spend
2023;Jun;Australia;KFC_AU_01;213054;4869;28032
2021;Sep;India;KFC_IN_04;163122;5437;16323
2022;Jan;India;KFC_IN_03;124478;2524;18470
2024;Jul;UK;KFC_UK_02;117367;3567;6790
2024;Dec;India;KFC_IN_02;165474;5040;29394
2022;Jun;USA;KFC_US_03;169778;3898;17756
2018;Jul;Australia;KFC_AU_01;128385;3010;7985
2020;Nov;Australia;KFC_AU_02;121454;4347;8432
2019;Oct;India;KFC_IN_01;82577;2411;19891
2024;Jun;UK;KFC_UK_01;180788;4323;12191
2023;Nov;UK;KFC_UK_02;70917;1579;23547
2020;Apr;UK;KFC_UK_02;79392;1981;19962
2022;Jul;Canada;KFC_CA_01;158237;3145;16712
2019;Jun;Australia;KFC_AU_01;95934;2609;22882
2021;Aug;Canada;KFC_CA_02;138325;2843;27448
2019;Jan;Canada;KFC_CA_02;193853;4297;26270
2024;Jun;India;KFC_IN_03;210872;4855;21527
2019;Apr;USA;KFC_US_02;218226;4674;7896
2018;Jun;UK;KFC_UK_01;72128;1584;23024
2020;Jul;USA;KFC_US_01;70367;1591;14682
2021;Sep;UK;KFC_UK_01;181256;5393;19466
2022;Mar;UK;KFC_UK_02;125515;4205;16185
2020;Nov;Australia;KFC_AU_01;215514;4549;10809
2021;May;Australia;KFC_AU_02;100272;2310;17112
2020;Dec;Canada;KFC_CA_01;209537;4343;27131
2023;Mar;USA;KFC_US_01;115062;2040;23262
2021;Jul;Australia;KFC_AU_01;107651;3446;21501
2019;Oct;Canada;KFC_CA_02;191118;4622;6238
2019;Aug;USA;KFC_US_03;105499;2287;14019
2019;Sep;Canada;KFC_CA_02;178573;4455;9283
2024;Mar;UK;KFC_UK_02;91075;1725;27250
2021;Nov;Canada;KFC_CA_01;95386;2941;10097
2019;Jul;USA;KFC_US_01;105692;2615;16782
2022;Nov;India;KFC_IN_02;86226;1965;13521
2023;Nov;India;KFC_IN_02;278990;5930;12140
2023;Jul;UK;KFC_UK_01;146517;2988;12057
2024;Apr;Canada;KFC_CA_02;107248;1809;25843
2020;Oct;UK;KFC_UK_02;129051;3146;22087
2018;Jul;Australia;KFC_AU_02;102670;2518;17058
2022;Sep;UK;KFC_UK_01;105076;2174;15942
2021;Dec;Australia;KFC_AU_01;179183;4856;14079
2022;Feb;Canada;KFC_CA_02;88314;1895;25779
2024;May;USA;KFC_US_02;118355;3530;12455
2020;Sep;UK;KFC_UK_02;268984;5802;13696
2021;Feb;UK;KFC_UK_01;133415;3747;17258
2023;Mar;India;KFC_IN_02;139298;4244;11978
2019;Oct;USA;KFC_US_02;260076;5712;25884
2024;Apr;USA;KFC_US_01;122466;3900;21066
2018;May;Canada;KFC_CA_02;147404;4454;13784
2023;Mar;UK;KFC_UK_01;147226;4125;19351
2018;Nov;Canada;KFC_CA_02;205639;5677;29652
2020;Aug;USA;KFC_US_01;119458;1991;29863
2018;May;India;KFC_IN_01;180579;4326;20517
2023;Jul;USA;KFC_US_02;125793;4688;8593
2019;Aug;Canada;KFC_CA_01;160176;3983;28737
2023;Sep;UK;KFC_UK_02;60291;1563;10275
2019;Oct;UK;KFC_UK_01;163360;3741;17461
2021;Jan;India;KFC_IN_03;76195;1686;10441
2019;Feb;UK;KFC_UK_01;114022;3051;10288
2022;May;Australia;KFC_AU_02;96895;2138;9237
2023;Feb;Australia;KFC_AU_02;134866;5072;8066
2022;Feb;India;KFC_IN_02;108486;3453;22161
2020;Mar;Australia;KFC_AU_02;198210;4381;18589
2021;Sep;Australia;KFC_AU_01;138488;3980;23068
2021;Apr;USA;KFC_US_02;77790;1890;21090
2024;Aug;USA;KFC_US_03;183501;3965;28866
2022;Jul;UK;KFC_UK_01;110263;2064;17383
2019;Jan;Canada;KFC_CA_02;139433;4846;18283
2023;Sep;Australia;KFC_AU_02;153950;4501;14419
2024;Mar;Canada;KFC_CA_02;88969;1840;13529
2022;Aug;USA;KFC_US_03;187027;4413;28159
2020;Apr;Canada;KFC_CA_02;109473;2949;18054
2023;Aug;Canada;KFC_CA_02;132549;4393;9545
2019;Jul;UK;KFC_UK_02;71326;1771;25280
2022;Dec;Australia;KFC_AU_02;87925;1988;10393
2019;Sep;UK;KFC_UK_02;154035;3291;22395
2020;Mar;Australia;KFC_AU_02;121539;4472;5267
2022;Jun;India;KFC_IN_04;114580;2361;27223
2021;Jun;UK;KFC_UK_01;165414;5229;8544
2018;Jan;USA;KFC_US_03;217758;5077;24832
2018;Dec;USA;KFC_US_03;288933;5818;27123
2022;Nov;Canada;KFC_CA_01;139787;4524;13115
2018;Nov;Australia;KFC_AU_01;150645;4577;22489
2020;Oct;Canada;KFC_CA_02;157575;3844;26879
2024;Jun;USA;KFC_US_01;122871;3228;16347
2022;Nov;India;KFC_IN_01;194027;4308;26015
2024;Jan;Canada;KFC_CA_01;98577;2814;14157
2018;Nov;USA;KFC_US_01;227815;5211;24586
2022;Jun;USA;KFC_US_02;71615;1724;14723
2023;Feb;India;KFC_IN_03;192766;5533;26776
2020;Jan;India;KFC_IN_02;69698;1968;10658
2018;Jan;India;KFC_IN_02;174481;5413;28330
2023;Dec;USA;KFC_US_02;79748;2291;20182
2018;Apr;USA;KFC_US_03;219647;5857;20509
2020;Nov;Canada;KFC_CA_01;96501;2296;29917
2022;Apr;Canada;KFC_CA_02;172244;4681;22452
2021;Dec;India;KFC_IN_03;89576;1726;27440
2022;Mar;Canada;KFC_CA_02;111706;2511;26332
2023;Feb;Canada;KFC_CA_02;161790;3258;15180
2022;Oct;Australia;KFC_AU_01;118059;2451;20019
2022;Apr;India;KFC_IN_01;161649;3576;11457
2022;Apr;India;KFC_IN_01;87358;2339;7832
2022;Apr;UK;KFC_UK_02;198056;5169;22310
2021;Oct;USA;KFC_US_02;159533;5336;20797
2018;Oct;Canada;KFC_CA_01;100795;2402;19127
2018;Nov;USA;KFC_US_03;95856;2378;10248
2023;Jul;UK;KFC_UK_01;161140;5285;18445
2020;Feb;Canada;KFC_CA_02;157272;4081;26680
2023;Nov;India;KFC_IN_03;162370;3427;15009
2019;Nov;USA;KFC_US_01;194439;4149;24330
2022;Jul;Australia;KFC_AU_01;157220;4570;10980
2023;Oct;India;KFC_IN_03;133128;3172;18936
2018;Aug;UK;KFC_UK_02;250842;5863;10459
2024;Dec;Australia;KFC_AU_02;213789;5173;17215
2019;Oct;Canada;KFC_CA_01;131372;3661;21542
2018;Mar;Canada;KFC_CA_01;211837;4455;11362
2023;Jan;Canada;KFC_CA_02;72050;1962;23000
2019;May;UK;KFC_UK_01;150970;3033;17518
2019;Nov;UK;KFC_UK_01;111577;2323;9365
2023;May;UK;KFC_UK_01;158144;3121;17699
2020;Nov;USA;KFC_US_03;210004;4829;12015
2021;Mar;Canada;KFC_CA_01;221907;5488;29827
2023;Apr;USA;KFC_US_01;126989;2848;15917
2018;Sep;UK;KFC_UK_01;108955;2948;29359
2024;Jan;USA;KFC_US_01;183723;4052;5435
2024;Oct;India;KFC_IN_03;194493;5639;8406
2019;Oct;Canada;KFC_CA_02;87482;1636;20406
2024;Sep;UK;KFC_UK_02;102903;2230;13703
2020;May;USA;KFC_US_02;165801;3275;24976
2020;Mar;Australia;KFC_AU_01;177742;4848;12910
2023;Sep;Australia;KFC_AU_01;222993;4920;21273
2018;Apr;Canada;KFC_CA_01;179020;5001;28990
2024;Jun;Australia;KFC_AU_01;200389;5858;12933
2020;May;UK;KFC_UK_02;174837;5645;11132
2023;Apr;UK;KFC_UK_01;130910;3364;16534
2020;Oct;USA;KFC_US_02;218820;4299;25365
2019;Apr;UK;KFC_UK_02;253661;5915;17061
2018;Jul;Australia;KFC_AU_02;125817;3062;6399
2022;Dec;Australia;KFC_AU_01;278190;5754;25014
2020;Jun;Australia;KFC_AU_02;269254;5824;24646
2023;Mar;Australia;KFC_AU_02;158659;5155;29784
2018;Sep;India;KFC_IN_04;97135;3153;8851
2023;Mar;USA;KFC_US_02;121116;2696;21364
2021;Dec;Canada;KFC_CA_01;100225;2421;8227
2022;Aug;Canada;KFC_CA_02;81415;1532;14007
2022;Jul;Australia;KFC_AU_02;85571;1907;7384
2022;Jan;USA;KFC_US_03;146380;4360;24300
2018;Mar;Australia;KFC_AU_01;160773;4074;22257
2020;Dec;India;KFC_IN_02;234244;5663;13387
2018;Jul;India;KFC_IN_04;212533;5347;14694
2021;Sep;Australia;KFC_AU_01;85710;1834;17852
2022;Aug;India;KFC_IN_04;216783;4825;23783
2024;Dec;USA;KFC_US_02;124963;3884;20095
2019;May;Australia;KFC_AU_01;83020;2444;9700
2019;Nov;USA;KFC_US_02;134299;3318;18169
2024;Jun;India;KFC_IN_02;180343;5784;6823
2020;May;India;KFC_IN_01;111066;2107;22572
2018;Mar;Australia;KFC_AU_01;76866;1901;25539
2024;Jan;USA;KFC_US_02;152927;3830;15047
2022;May;USA;KFC_US_01;167431;4674;13189
2019;Sep;UK;KFC_UK_02;255931;5733;15145
2022;Jul;Canada;KFC_CA_02;151907;5703;9332
2024;Sep;USA;KFC_US_03;85543;2123;15484
2022;Mar;Canada;KFC_CA_01;107455;3480;16975
2018;Apr;Australia;KFC_AU_01;218560;4927;26407
2021;Mar;USA;KFC_US_01;91390;1865;22385
2022;Jan;India;KFC_IN_03;193447;4889;12554
2019;Oct;Canada;KFC_CA_01;167858;4706;7854
2021;Aug;USA;KFC_US_03;178955;4421;19799
2020;Dec;India;KFC_IN_02;178661;4623;16856
2020;Oct;UK;KFC_UK_01;234154;5712;28522
2018;Sep;Australia;KFC_AU_01;136849;4154;24691
2023;Jan;Australia;KFC_AU_02;136994;2735;22124
2020;Jun;USA;KFC_US_01;115891;3127;22081
2020;Jun;Canada;KFC_CA_01;219748;5741;7331
2022;Mar;India;KFC_IN_01;56293;1583;13552
2022;Apr;Australia;KFC_AU_01;106235;1900;22635
2022;Feb;India;KFC_IN_03;52530;1710;8070
2021;Mar;UK;KFC_UK_02;103564;3266;12116
2024;May;USA;KFC_US_03;202278;5608;17214
2018;Oct;Canada;KFC_CA_02;172330;5609;20887
2024;May;India;KFC_IN_02;166653;4077;11727
2022;Jan;Australia;KFC_AU_01;250811;5972;11931
2020;Sep;India;KFC_IN_02;197351;5934;13397
2019;Jan;USA;KFC_US_03;95530;2365;24580
2018;Jul;Canada;KFC_CA_01;184902;4893;8754
2018;Apr;Australia;KFC_AU_02;242430;5252;11342
2018;Apr;USA;KFC_US_02;206239;5441;26686
2018;Apr;UK;KFC_UK_01;160382;3482;10656
2024;Mar;UK;KFC_UK_02;173524;4409;23618
2022;Feb;USA;KFC_US_02;173029;5281;19880
2019;Apr;India;KFC_IN_01;171425;4327;28634
2021;Feb;USA;KFC_US_03;75827;1936;11939
2022;Jun;Canada;KFC_CA_01;45193;1531;6918
2018;Jun;Canada;KFC_CA_01;270641;5525;27541
2018;Sep;UK;KFC_UK_01;95755;3172;13283
2022;Jan;UK;KFC_UK_01;217816;4533;18364
2023;Jan;Canada;KFC_CA_01;221676;4526;22532
2020;Sep;UK;KFC_UK_02;147650;4341;26102
2022;Dec;USA;KFC_US_01;87159;1875;10284
2022;Feb;USA;KFC_US_02;73378;1983;17854
2024;Aug;Canada;KFC_CA_01;106869;3296;17877
2024;Aug;USA;KFC_US_02;191077;5084;13137
2023;Jul;Canada;KFC_CA_02;131983;4226;22107
2022;Jun;Australia;KFC_AU_01;133468;2691;17755
2019;Nov;India;KFC_IN_03;100334;3024;12638
2023;Feb;Australia;KFC_AU_02;130130;4329;17576
2019;Jul;India;KFC_IN_03;133584;4878;11634
2019;Feb;USA;KFC_US_03;87562;2854;13358
2018;Dec;India;KFC_IN_01;92046;2593;27221
2020;Mar;India;KFC_IN_02;71332;1547;18734
2018;Jan;Canada;KFC_CA_01;131586;3028;22578
2020;Feb;Canada;KFC_CA_01;159000;4653;14757
2019;Jan;USA;KFC_US_02;115478;2569;20425
2020;Jan;Australia;KFC_AU_02;77077;1528;25125
2021;Nov;Australia;KFC_AU_02;176479;4216;20487
2019;Sep;India;KFC_IN_01;111193;2756;28513
2024;Dec;Canada;KFC_CA_02;211135;5298;15109
2022;May;Canada;KFC_CA_01;156093;3912;15261
2018;Jun;Australia;KFC_AU_01;191978;5720;20378
2019;Jul;UK;KFC_UK_01;209249;5646;28577
2018;Mar;Australia;KFC_AU_01;160009;3490;13429
2023;Jan;Australia;KFC_AU_01;101917;2538;28315
2021;Sep;India;KFC_IN_02;170956;4861;20265
2020;Feb;Canada;KFC_CA_02;166472;4034;29316
2022;May;India;KFC_IN_04;205103;5524;22811
2019;Nov;UK;KFC_UK_02;89082;1767;14868
2021;Jul;Australia;KFC_AU_02;182210;4195;14410
2023;Jun;Canada;KFC_CA_02;211605;5348;29773
2021;Feb;UK;KFC_UK_02;207233;5488;20641
2019;Sep;Australia;KFC_AU_01;85639;1626;17347
2022;Feb;Canada;KFC_CA_02;213271;4606;6001
2018;Mar;India;KFC_IN_03;145084;2793;19399
2023;Feb;USA;KFC_US_01;162787;4320;15907
2022;Jul;Australia;KFC_AU_02;69348;2131;11811
2021;Jan;UK;KFC_UK_01;72873;1631;28836
2024;Apr;Australia;KFC_AU_01;209710;4789;27728
2024;May;UK;KFC_UK_02;285879;5703;29244
2020;Nov;India;KFC_IN_04;153341;5099;5470
2023;Dec;Canada;KFC_CA_02;134830;3574;27610
2021;Nov;UK;KFC_UK_02;155393;4187;13035
2021;May;Canada;KFC_CA_01;228079;4641;23875
2023;Mar;Australia;KFC_AU_02;116518;2846;16908
2018;Nov;India;KFC_IN_02;184600;5871;20212
2023;Mar;UK;KFC_UK_02;216763;5858;23449
2020;Dec;Australia;KFC_AU_02;126617;3964;15625
2018;Feb;USA;KFC_US_03;161638;4023;8764
2022;Apr;India;KFC_IN_03;88816;2117;27423
2018;Apr;Australia;KFC_AU_02;184648;5343;8329
2020;Feb;Australia;KFC_AU_01;201191;5295;21161
2022;May;UK;KFC_UK_02;75834;1543;21829
2022;Feb;UK;KFC_UK_01;205629;4307;29042
2021;Apr;UK;KFC_UK_01;110747;3065;15732
2020;Mar;India;KFC_IN_01;72085;1798;27135
2023;Aug;India;KFC_IN_04;186351;5334;20997
2021;Apr;Australia;KFC_AU_02;203052;4809;10692
2021;Jan;Canada;KFC_CA_02;164840;5017;9313
2019;Sep;Australia;KFC_AU_02;113778;3190;18078
2021;Dec;UK;KFC_UK_02;83823;2122;15919
2022;Jan;India;KFC_IN_03;132574;3249;9112
2018;Sep;Australia;KFC_AU_01;109729;2371;10147
2023;Jan;UK;KFC_UK_02;147337;2937;29857
2019;Jun;Canada;KFC_CA_01;133171;3717;6793
2023;Nov;Australia;KFC_AU_01;137677;4820;17177
2018;Aug;Canada;KFC_CA_01;100201;3620;9701
2020;May;Australia;KFC_AU_01;143371;3525;9421
2024;Apr;UK;KFC_UK_01;68820;1855;15025
2018;Oct;Canada;KFC_CA_01;125249;4349;7826
2020;Mar;UK;KFC_UK_01;158499;4011;18114
2020;Feb;Australia;KFC_AU_01;227838;5694;22854
2020;Dec;India;KFC_IN_02;138798;3357;11232
2023;Jul;Canada;KFC_CA_01;184902;4219;11923
2023;Nov;UK;KFC_UK_01;237752;5999;21788
2019;Dec;Canada;KFC_CA_01;247613;5316;13709
2018;May;Australia;KFC_AU_02;154220;3754;11568
2020;May;Australia;KFC_AU_01;138010;3149;12050
2021;Feb;USA;KFC_US_01;217954;5764;16214
2018;Aug;USA;KFC_US_03;135714;3960;20874
2021;Sep;India;KFC_IN_03;154706;5016;14258
2021;Jul;Canada;KFC_CA_01;86714;2053;27177
2021;Jul;UK;KFC_UK_02;205574;5229;6872
2024;May;Canada;KFC_CA_01;238533;4783;28081
2019;Jun;Canada;KFC_CA_02;118504;2604;11740
2019;May;Australia;KFC_AU_01;98349;1661;25265
2018;Jun;Canada;KFC_CA_01;108650;2195;27435
2020;Mar;UK;KFC_UK_02;182773;4504;11621
2024;Dec;UK;KFC_UK_01;88323;2044;10651
2021;May;Australia;KFC_AU_01;82378;2209;22735
2024;Dec;UK;KFC_UK_01;163030;5802;6376
2019;Feb;Australia;KFC_AU_01;189747;5057;7695
2021;Apr;India;KFC_IN_04;182145;5486;17565
2024;Oct;Canada;KFC_CA_02;72290;1515;5630
2019;Sep;UK;KFC_UK_02;100528;2558;16114
2018;May;Canada;KFC_CA_01;102789;2368;19909
2019;Jul;UK;KFC_UK_01;186125;4359;20483
2024;Sep;Canada;KFC_CA_01;174282;4879;8396
2020;Jan;Canada;KFC_CA_02;124126;4240;9646
2023;Feb;India;KFC_IN_01;228400;5382;13120
2023;Mar;Canada;KFC_CA_01;163858;3836;6582
2021;Sep;Canada;KFC_CA_02;88915;2167;6569
2018;Apr;Canada;KFC_CA_01;84895;2846;10899
2023;Jan;Australia;KFC_AU_01;124835;3921;18968
2024;Dec;UK;KFC_UK_02;90631;2791;18065
2022;Dec;Canada;KFC_CA_02;66965;2324;6541
2021;Nov;UK;KFC_UK_01;116269;2741;28557
2022;Sep;USA;KFC_US_01;126608;2701;13166
2018;Dec;Australia;KFC_AU_02;176735;4395;22910
2019;Jun;Australia;KFC_AU_01;128472;3372;23940
2021;Oct;Australia;KFC_AU_02;262993;5446;17923
2023;Jun;Canada;KFC_CA_01;224596;5335;5861
2021;Feb;Australia;KFC_AU_02;133617;3965;6737
2022;Sep;India;KFC_IN_01;73339;1519;27769
2018;Apr;UK;KFC_UK_02;115027;2659;13985
2018;Oct;Canada;KFC_CA_01;227126;5862;10232
2021;Jan;India;KFC_IN_02;147697;4378;20735
2023;Oct;Canada;KFC_CA_02;95885;3201;9458
2024;Jan;USA;KFC_US_01;90967;2480;16567
2020;Aug;UK;KFC_UK_02;133582;4295;13322
2024;May;UK;KFC_UK_02;71514;1564;23030
2022;Oct;India;KFC_IN_01;110885;3570;10925
2024;Jun;India;KFC_IN_01;96530;2044;18858
2020;Apr;Canada;KFC_CA_01;97814;1964;29074
2018;May;USA;KFC_US_02;203523;4080;19923
2021;May;India;KFC_IN_04;165464;5607;25289
2023;Oct;India;KFC_IN_02;160265;3664;6377
2020;Nov;Canada;KFC_CA_01;160443;3949;10381
2020;Jul;UK;KFC_UK_01;71000;1529;29717
2019;Aug;Canada;KFC_CA_02;196902;5038;15534
2022;Jul;Canada;KFC_CA_02;282054;5875;17679
2024;May;Canada;KFC_CA_02;66900;1863;7284
2020;Mar;Australia;KFC_AU_01;159631;3352;28903
2019;Aug;USA;KFC_US_02;101683;2640;11923
2023;Oct;UK;KFC_UK_02;158960;5345;9300
2020;Oct;Australia;KFC_AU_01;90355;1832;28067
2018;Sep;UK;KFC_UK_01;68024;1717;16514
2018;Nov;UK;KFC_UK_02;128581;3808;21957
2023;Feb;UK;KFC_UK_02;216524;5974;19382
2020;Jan;India;KFC_IN_03;146575;4241;10863
2024;Jan;USA;KFC_US_01;129660;4504;8052
2021;May;USA;KFC_US_01;103836;2442;25692
2023;Mar;UK;KFC_UK_02;166608;4451;24176
2020;Oct;India;KFC_IN_04;168210;5417;21951
2018;Dec;USA;KFC_US_02;54216;1668;12516
2022;Jan;Canada;KFC_CA_01;71042;1888;10626
2024;Apr;Australia;KFC_AU_02;80550;1917;26874
2019;Sep;India;KFC_IN_03;169579;4218;17731
2020;Aug;USA;KFC_US_02;194642;4058;28264
2021;Apr;India;KFC_IN_01;227619;5861;28345
2019;Feb;UK;KFC_UK_02;71050;1685;15445
2018;Jan;UK;KFC_UK_01;153748;4477;14961
2024;Dec;India;KFC_IN_01;154609;3864;23233
2022;Feb;Australia;KFC_AU_01;132735;4269;21741
2021;Oct;USA;KFC_US_03;190140;4439;17019
2018;Apr;Australia;KFC_AU_02;245586;5228;10326
2019;Apr;Australia;KFC_AU_02;221144;4738;7934
2024;Sep;Canada;KFC_CA_01;140522;2817;25025
2021;Jul;Canada;KFC_CA_01;227763;4506;29499
2023;May;UK;KFC_UK_02;196146;5456;5186
2023;May;India;KFC_IN_04;112260;3317;22701
2019;Oct;USA;KFC_US_03;67783;2044;6463
2021;Jan;India;KFC_IN_01;120538;2519;9702
2022;May;India;KFC_IN_01;195529;4433;9343
2020;Apr;Canada;KFC_CA_01;105239;2464;21463
2021;Jun;Australia;KFC_AU_02;173584;5570;6484
2020;Jun;Canada;KFC_CA_01;158671;5311;15274
2022;Nov;Australia;KFC_AU_02;135863;3532;22839
2021;Oct;Canada;KFC_CA_01;176883;5732;27851
2020;Aug;India;KFC_IN_01;258457;5533;20538
2021;Mar;UK;KFC_UK_01;154994;3908;10398
2018;Mar;UK;KFC_UK_01;217162;5343;14128
2019;Jun;USA;KFC_US_02;115733;2357;12025
2022;Jan;UK;KFC_UK_02;139539;5158;10589
2022;Jan;India;KFC_IN_01;155145;4166;9335
2024;Feb;USA;KFC_US_02;140776;3068;11920
2020;Feb;UK;KFC_UK_02;73066;2029;6109
2020;Dec;India;KFC_IN_04;67293;1886;12599
2018;Oct;USA;KFC_US_01;185695;4248;28519
2020;May;USA;KFC_US_02;176274;5350;26474
2019;Sep;Canada;KFC_CA_01;70459;1679;20089
2020;Sep;USA;KFC_US_01;181245;4232;20429
2019;Nov;UK;KFC_UK_02;130919;3194;6353
2024;Dec;USA;KFC_US_01;171418;4979;27027
2021;Jun;India;KFC_IN_03;238551;5400;22551
2018;Aug;Australia;KFC_AU_02;194644;4909;13011
2021;Nov;Australia;KFC_AU_01;101263;1957;24940
2023;Jul;India;KFC_IN_02;110346;2460;19326
2019;Oct;UK;KFC_UK_01;176883;3805;24683
2023;Dec;UK;KFC_UK_02;169923;4573;14441
2024;Dec;Canada;KFC_CA_02;190891;4232;13147
2018;Sep;USA;KFC_US_01;104423;2558;7219
2023;Apr;Australia;KFC_AU_01;115669;3029;21770
2019;Aug;UK;KFC_UK_01;83765;2443;8032
2020;Dec;UK;KFC_UK_01;114501;2343;11409
2021;Mar;Australia;KFC_AU_01;146884;3545;5084
2019;May;Australia;KFC_AU_01;141619;3920;16179
2021;Oct;Canada;KFC_CA_02;118162;2308;14302
2023;Jan;Canada;KFC_CA_01;120110;2233;28557
2018;Mar;Canada;KFC_CA_02;97995;2056;17811
2019;Aug;Canada;KFC_CA_02;152093;3087;25526
2024;Sep;Australia;KFC_AU_02;100968;3079;8598
2022;May;India;KFC_IN_01;153707;3222;21605
2024;Nov;USA;KFC_US_02;117632;3626;26982
2018;Sep;Canada;KFC_CA_01;130831;3437;7099
2018;Jul;UK;KFC_UK_01;147928;4572;29056
2020;Sep;Australia;KFC_AU_01;80953;1936;7385
2019;Jan;USA;KFC_US_01;166046;4890;19346
2022;Oct;UK;KFC_UK_01;142826;3362;8346
2022;Feb;Canada;KFC_CA_02;139312;4761;15526
2022;Jan;USA;KFC_US_02;140232;2689;19227
2019;Feb;India;KFC_IN_02;219576;5125;19701
2021;Nov;USA;KFC_US_03;240824;5813;14117
2020;Mar;Australia;KFC_AU_02;253085;5351;17641
2019;May;Australia;KFC_AU_02;84211;1676;20523
2018;Jul;Canada;KFC_CA_02;218041;5015;12426
2024;Dec;India;KFC_IN_03;96998;2510;29228
2019;May;UK;KFC_UK_02;230276;5205;6461
2021;Oct;Canada;KFC_CA_02;91187;3031;15412
2019;Aug;USA;KFC_US_02;170012;5034;29060
2022;Mar;USA;KFC_US_02;99107;3658;7657
2023;Nov;USA;KFC_US_02;193386;4469;19095
2021;Feb;India;KFC_IN_03;82005;1563;28863
2018;Aug;Canada;KFC_CA_02;166290;3301;21046
2021;Dec;Canada;KFC_CA_01;231232;4779;16177
2021;May;Australia;KFC_AU_02;166843;3976;11779
2023;Aug;UK;KFC_UK_01;72883;1948;6651
2020;Apr;Australia;KFC_AU_01;132508;2765;19143
2023;Jun;USA;KFC_US_02;175033;3710;26633
2018;Sep;Australia;KFC_AU_02;159037;3360;17917
2018;Nov;Australia;KFC_AU_01;162961;3525;25486
2023;Apr;UK;KFC_UK_02;221564;5300;14864
2024;Jan;USA;KFC_US_03;199984;5191;13108
2022;Oct;USA;KFC_US_01;221569;4524;22513
2021;Jul;India;KFC_IN_03;160250;5211;29975
2018;Feb;USA;KFC_US_01;119644;2944;25436
2019;Sep;USA;KFC_US_02;170187;4868;14411
2022;Aug;USA;KFC_US_03;152194;4102;8624
2021;Aug;India;KFC_IN_03;69092;1636;8560
2021;Oct;India;KFC_IN_01;125937;3029;13864
2021;Aug;UK;KFC_UK_01;173080;5005;27935
2020;Feb;Canada;KFC_CA_02;150145;3035;13570
2018;Jan;India;KFC_IN_03;99115;1738;22643
2021;Jun;Australia;KFC_AU_01;140815;4070;22785
2018;Nov;India;KFC_IN_01;210984;4867;6570
2019;Jan;UK;KFC_UK_02;164991;4690;24291
2020;Jun;USA;KFC_US_01;108497;2202;9407
2018;Sep;UK;KFC_UK_01;163645;3449;22236
2024;Sep;UK;KFC_UK_02;82755;2013;28404
2018;Feb;UK;KFC_UK_02;233401;4854;29533
2023;Jun;India;KFC_IN_02;80454;2527;7171
2022;Oct;Australia;KFC_AU_02;134779;2680;24899
2024;Jul;Canada;KFC_CA_01;174554;4415;15614
2023;Nov;Australia;KFC_AU_02;133095;4281;21789
2022;Oct;Canada;KFC_CA_02;129483;2712;23715
2018;Apr;India;KFC_IN_02;99192;2392;27432
2019;Nov;Australia;KFC_AU_02;151172;4170;13562
2019;Sep;UK;KFC_UK_01;134965;3723;8383
2024;Oct;UK;KFC_UK_01;104554;2844;7858
2019;Mar;India;KFC_IN_01;163840;4073;21285
2022;Oct;Australia;KFC_AU_02;138789;4137;18816
2019;Jun;Canada;KFC_CA_02;100302;2081;12900
2023;Jun;USA;KFC_US_01;126585;4583;7427
2024;Nov;USA;KFC_US_02;151910;3643;28048
2021;Jun;Canada;KFC_CA_02;147522;3647;23524
2018;Jan;Canada;KFC_CA_02;235650;5031;19317
2021;May;Australia;KFC_AU_02;205201;5709;28222
2022;Feb;USA;KFC_US_03;223729;5516;19637
2024;Aug;Canada;KFC_CA_02;127649;3381;12695
2024;Nov;USA;KFC_US_03;75813;2189;7954
2018;Jun;USA;KFC_US_03;105026;2793;18443
2024;Mar;USA;KFC_US_03;240881;5388;25361
2022;Feb;UK;KFC_UK_01;126619;3234;29599
2019;Sep;UK;KFC_UK_01;136620;3343;19615
2018;Dec;Canada;KFC_CA_02;155128;4451;8245
2020;Oct;India;KFC_IN_01;156636;4239;25227
2018;Dec;UK;KFC_UK_02;111911;2450;11461
2021;Mar;USA;KFC_US_02;161407;3546;16021
2024;Oct;USA;KFC_US_02;98461;2650;29561
2024;Sep;UK;KFC_UK_01;148108;5721;5083
2023;Nov;UK;KFC_UK_02;97178;2989;10497
2021;Jan;India;KFC_IN_02;110472;2190;22872
2024;Jan;Canada;KFC_CA_01;158801;5206;23445
2021;Oct;India;KFC_IN_03;187333;5772;25717
2019;Apr;India;KFC_IN_04;210797;5662;29613
2023;Apr;Australia;KFC_AU_01;167692;4257;14440
2023;Sep;India;KFC_IN_03;112697;4266;6047
2022;Oct;Canada;KFC_CA_02;90182;1518;21872
2019;Mar;Canada;KFC_CA_02;114548;3860;18048
2024;Mar;USA;KFC_US_01;56910;1670;8480
2019;Apr;Canada;KFC_CA_01;109592;3168;27224
2020;Oct;Australia;KFC_AU_02;183787;3982;28489
2023;Oct;Australia;KFC_AU_02;205788;4042;23898
2021;Aug;India;KFC_IN_03;106514;2100;14114
2023;Mar;Canada;KFC_CA_02;144989;4279;29456
2018;Sep;Canada;KFC_CA_02;184686;5180;13746
2018;Mar;Australia;KFC_AU_02;146139;3913;17010
2018;Dec;UK;KFC_UK_01;259385;5473;24046
2023;Aug;Australia;KFC_AU_02;165139;5417;13463
2018;Jul;USA;KFC_US_03;133344;4016;20896
2019;Mar;Canada;KFC_CA_01;72052;1833;18895
2019;Nov;Canada;KFC_CA_02;136763;3143;23615
